conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,розв’язувати технічні проблеми,released,skill/competence,cross-sector,,"Виявляти технічні проблеми під час роботи з пристроями та в цифрових середовищах і вирішувати такі проблеми (від усунення несправностей до розв’язання більш складних завдань).
	",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,вирішувати проблеми за допомогою цифрових інструментів | виявляти проблеми | розв’язання комп’ютерних проблем
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,використовувати електронні послуги,released,skill/competence,cross-sector,,"Долучатися до суспільного життя, користуючись державними й приватними цифровими сервісами. Шукати можливості самовдосконалення й реалізації активної громадянської позиції за допомогою відповідних цифрових технологій.
	",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,цифрове спілкування та співпраця | використання цифрових інструментів для співпраці й продуктивності
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,творчо використовувати цифрові технології,released,skill/competence,cross-sector,,"Використовувати цифрові інструменти й технології для створення бази знань, впровадження інновацій у процесах і продуктах. Долучатися до пізнавальної діяльності на індивідуальному й колективному рівні, щоб розуміти концептуальні проблеми й проблемні ситуації у цифровому середовищі, а також вирішувати їх.
	",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,вирішувати проблеми за допомогою цифрових інструментів | використання цифрових інструментів для співпраці й продуктивності
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"оцінювати дані, інформацію і цифровий контент",released,skill/competence,cross-sector,,"Аналізувати, порівнювати та критично оцінювати достовірність і надійність джерел даних, інформації та цифрового вмісту. Аналізувати, інтерпретувати та критично оцінювати дані, інформацію і цифровий вміст.
	",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,цифрова обробка даних | аналіз і оцінювання інформації та даних
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,комп’ютерне програмування,released,knowledge,cross-sector,,"Методи та принципи розроблення програмного забезпечення, як-от аналіз, алгоритми, кодування, тестування та компіляція парадигм програмування (наприклад, об’єктно-орієнтоване програмування, функціональне програмування) та мов програмування.
	",http://data.europa.eu/esco/isced-f/0613,розроблення й аналіз програмного забезпечення та прикладних програм
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,виявляти прогалини в цифровій компетентності,released,skill/competence,cross-sector,,"Розуміти, де власну цифрову компетентність потрібно вдосконалити або оновити. Вміти підтримувати інших у розвитку їхньої цифрової компетентності. Шукати можливості для саморозвитку та бути в курсі цифрової еволюції.
	",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"вирішувати проблеми за допомогою цифрових інструментів | моніторинг, перевірка й випробування"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,співпрацювати за допомогою цифрових технологій,released,skill/competence,cross-sector,,"Використовувати цифрові інструменти й технології для спільної роботи, а також для спільної розбудови й створення ресурсів і баз знань.
	",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,цифрове спілкування та співпраця | використання цифрових інструментів для співпраці й продуктивності
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,захищати особисті дані та конфіденційність,released,skill/competence,cross-sector,,"Захищати особисті дані та конфіденційність у цифровому середовищі. Розуміти, як використовувати та поширювати особисту інформацію, щоб мати можливість захистити себе та інших від збитків. Розуміти, що цифрові служби використовують «Політику конфіденційності», щоб повідомити, як використовуються особисті дані.
	",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,безпека ІКТ | захист конфіденційності й персональних даних
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,вести обмін за допомогою цифрових технологій,released,skill/competence,cross-sector,,"Поширювати дані, інформацію й цифровий контент за допомогою відповідних цифрових технологій. Виступати в ролі посередника, бути обізнаним із практикою використання посилань і атрибуцією.
	",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,цифрове спілкування та співпраця | використання цифрових інструментів для співпраці й продуктивності
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,безпека ІКТ,released,,,,"Особистий захист, захист даних, захист цифрової ідентичності, заходи безпеки, безпечне й безперебійне користування.
	",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,захист пристроїв ІКТ
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,визначати технологічні потреби,released,skill/competence,cross-sector,,"Оцінювати потреби та визначати цифрові інструменти й можливі технологічні шляхи для їх вирішення. Налаштовувати цифрове середовище відповідно до особистих потреб (наприклад, доступність).
	",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9,вирішувати проблеми за допомогою цифрових інструментів | розроблення рішень
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"розпоряджатись даними, інформацією і цифровим контентом",released,skill/competence,cross-sector,,"Організовувати, зберігати та отримувати дані, інформацію та вміст у цифровому середовищі. Організовувати та обробляти їх у структурованому середовищі.
	",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,цифрова обробка даних | управління інформацією
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,цифрове спілкування та співпраця,released,,,,"Спілкуватися в цифрових середовищах, поширювати ресурси за допомогою онлайн-інструментів, налагоджувати зв’язки з іншими та співпрацювати за допомогою цифрових інструментів, взаємодіяти зі спільнотами й мережами, долучатися до їхньої роботи, виявляти міжкультурну обізнаність.
	",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,використання цифрових інструментів для співпраці й продуктивності
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,інтегрувати та переробляти цифровий контент,released,skill/competence,cross-sector,,"Змінювати, уточнювати, удосконалювати й інтегрувати інформацію та контент в існуючий масив знань для створення нового, оригінального й релевантного контенту та знань.
	",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,створювати цифровий контент | використання цифрових інструментів для співпраці й продуктивності
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,розвивати цифровий контент,released,skill/competence,cross-sector,,"Створювати й редагувати цифровий контент у різних форматах, самовиражатися за допомогою цифрових засобів.
	",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,створювати цифровий контент | використання цифрових інструментів для співпраці й продуктивності
